[2026-05-09 18:41:12.512] [Hash Trace] Tick: 1020
P2.HitstopCounter              | Val: 0                    | AccumHash: 4675596381486214511
[Final Hash]: 4675596381486214511
==================================================

[2026-05-09 18:41:16.510] [Hash Trace] Tick: 1260
Tick                           | Val: 1260                 | AccumHash: 12639459335509482123
SharedDepthAxis.X              | Val: 18446744073709528908 | AccumHash: 16708479928540789029
SharedDepthAxis.Y              | Val: 0                    | AccumHash: 7879836792831433183
SharedDepthAxis.Z              | Val: 61534                | AccumHash: 10877664305241589299
CurrentTimerFrames             | Val: 4320                 | AccumHash: 7046013753637456009
IsTimerPaused                  | Val: 0                    | AccumHash: 4282006511663562955
CurrentPhase                   | Val: 1                    | AccumHash: 10918988689817114430
PhaseDelayTicks                | Val: 0                    | AccumHash: 9998230334825234010
SimulationScale                | Val: 65536                | AccumHash: 10497879443381498606
--- P1 ---
P1.Position.X                  | Val: 164079               | AccumHash: 3580519064602638259
P1.Position.Y                  | Val: 0                    | AccumHash: 10843229412834436393
P1.Position.Z                  | Val: 18446744073709550089 | AccumHash: 4381498893690168160
P1.Velocity.X                  | Val: 0                    | AccumHash: 9063827282580855840
P1.Velocity.Y                  | Val: 0                    | AccumHash: 8554250725093345888
P1.Velocity.Z                  | Val: 0                    | AccumHash: 9919719983086346528
P1.DepthAxis.X                 | Val: 18446744073709528908 | AccumHash: 16089419792279923076
P1.DepthAxis.Y                 | Val: 0                    | AccumHash: 7287046540765285196
P1.DepthAxis.Z                 | Val: 61534                | AccumHash: 16425384165877964694
P1.CurrentDirection.X          | Val: 64860                | AccumHash: 15061060745566723390
P1.CurrentDirection.Y          | Val: 0                    | AccumHash: 4524747370494832730
P1.CurrentDirection.Z          | Val: 17653                | AccumHash: 7899046281225717085
P1.LookDirection.X             | Val: 61534                | AccumHash: 1871150754873447449
P1.LookDirection.Y             | Val: 0                    | AccumHash: 10333917849283241595
P1.LookDirection.Z             | Val: 22708                | AccumHash: 5273186989845838269
P1.IsGrounded                  | Val: 1                    | AccumHash: 5933908668038797940
P1.IsRootMotionActive          | Val: 0                    | AccumHash: 18331226147109057308
P1.CachedCurrentState          | Val: 128                  | AccumHash: 1177322022472790548
P1.StateFrameCounter           | Val: 17                   | AccumHash: 9187152637320560255
P1.CurrentActionID             | Val: 673660933            | AccumHash: 10743312426479954254
P1.IsCommandActionTriggered    | Val: 0                    | AccumHash: 13279838930875690890
P1.HurtInfo.Damage             | Val: 0                    | AccumHash: 7488078137754339198
P1.HurtInfo.StunFrames         | Val: 0                    | AccumHash: 14670323884154059546
P1.ScheduledWakeUpType         | Val: 0                    | AccumHash: 16201797493975625006
P1.IsFromRoll                  | Val: 0                    | AccumHash: 5389788722072765738
P1.SideStepDirection           | Val: 0                    | AccumHash: 12037214249788245598
P1.CurrentStunFrames           | Val: 0                    | AccumHash: 13887920557050876346
P1.IsGroundBouncing            | Val: 0                    | AccumHash: 6625089608037719822
P1.CurrentHealth               | Val: 100                  | AccumHash: 8283985934862131486
P1.HitstopCounter              | Val: 0                    | AccumHash: 2536998873196807674
--- P2 ---
P2.Position.X                  | Val: 215758               | AccumHash: 5224883219696506204
P2.Position.Y                  | Val: 0                    | AccumHash: 2205352569904204628
P2.Position.Z                  | Val: 17545                | AccumHash: 11829514621833131143
P2.Velocity.X                  | Val: 0                    | AccumHash: 11245667269639815525
P2.Velocity.Y                  | Val: 0                    | AccumHash: 5658217505587011231
P2.Velocity.Z                  | Val: 0                    | AccumHash: 15482319572612089901
P2.DepthAxis.X                 | Val: 18446744073709528908 | AccumHash: 5219466618912506323
P2.DepthAxis.Y                 | Val: 0                    | AccumHash: 6851233591402240393
P2.DepthAxis.Z                 | Val: 61534                | AccumHash: 5887008032944052309
P2.CurrentDirection.X          | Val: 67123                | AccumHash: 6073068513953802066
P2.CurrentDirection.Y          | Val: 0                    | AccumHash: 686891380285935702
P2.CurrentDirection.Z          | Val: 0                    | AccumHash: 7725697465799492130
P2.LookDirection.X             | Val: 18446744073709490082 | AccumHash: 12935854355613593728
P2.LookDirection.Y             | Val: 0                    | AccumHash: 10761272927085586816
P2.LookDirection.Z             | Val: 18446744073709528908 | AccumHash: 4989969134898963620
P2.IsGrounded                  | Val: 1                    | AccumHash: 8973110257319707743
P2.IsRootMotionActive          | Val: 0                    | AccumHash: 10212530403432787309
P2.CachedCurrentState          | Val: 1                    | AccumHash: 5787373706699828868
P2.StateFrameCounter           | Val: 6                    | AccumHash: 13897562750569203430
P2.CurrentActionID             | Val: 0                    | AccumHash: 1881254281574742226
P2.IsCommandActionTriggered    | Val: 0                    | AccumHash: 14901418059744529622
P2.HurtInfo.Damage             | Val: 5                    | AccumHash: 1098328327720471177
P2.HurtInfo.StunFrames         | Val: 5                    | AccumHash: 7888220518471887844
P2.ScheduledWakeUpType         | Val: 0                    | AccumHash: 8850721229948245100
P2.IsFromRoll                  | Val: 0                    | AccumHash: 14497795830901044100
P2.SideStepDirection           | Val: 0                    | AccumHash: 16125885673796782412
P2.CurrentStunFrames           | Val: 81                   | AccumHash: 9017296120212798535
P2.IsGroundBouncing            | Val: 0                    | AccumHash: 7975953949041487013
P2.CurrentHealth               | Val: 50                   | AccumHash: 10625875351151641749
P2.HitstopCounter              | Val: 0                    | AccumHash: 10066645892450142511
[Final Hash]: 10066645892450142511
==================================================

